id,thoi_gian_gui,ten_thiet_bi,nhiet_do,do_am,led1,led2,led3
6ab0872325b8f0601e1a3b22,2026-09-21T08:23:47.274000+07:00,pi4-tdbao,25.0,72.0,0,1,0
6ab0872325b8f0601e1a3b23,2026-09-21T08:23:47.997000+07:00,pi4-tdbao,25.0,72.0,0,0,1
6ab0872425b8f0601e1a3b24,2026-09-21T08:23:48.714000+07:00,pi4-tdbao,25.0,72.0,1,0,0
6ab0878125b8f0601e1a3b25,2026-09-21T08:25:21.856000+07:00,pi4-tdbao,25.0,71.0,1,0,0
6ab0878225b8f0601e1a3b26,2026-09-21T08:25:22.866000+07:00,pi4-tdbao,25.0,71.0,0,1,0
6ab0878325b8f0601e1a3b27,2026-09-21T08:25:23.854000+07:00,pi4-tdbao,25.0,71.0,0,0,1
6ab0878425b8f0601e1a3b28,2026-09-21T08:25:24.868000+07:00,pi4-tdbao,25.0,71.0,1,0,0
6ab0878625b8f0601e1a3b29,2026-09-21T08:25:26.421000+07:00,pi4-tdbao,25.0,71.0,0,1,0
6ab0878725b8f0601e1a3b2a,2026-09-21T08:25:27.331000+07:00,pi4-tdbao,25.0,71.0,0,0,1
6ab0878c25b8f0601e1a3b2b,2026-09-21T08:25:32.845000+07:00,pi4-tdbao,25.0,71.0,1,0,0
6ab0878e25b8f0601e1a3b2c,2026-09-21T08:25:34.025000+07:00,pi4-tdbao,25.0,71.0,0,1,0
6ab0878f25b8f0601e1a3b2d,2026-09-21T08:25:35.483000+07:00,pi4-tdbao,25.0,71.0,0,0,1
6ab089aea9d853399fa1c1ad,2026-09-21T08:34:38.901000+07:00,pi4-tdbao,25.0,72.0,1,0,0
6ab089b0a9d853399fa1c1ae,2026-09-21T08:34:40.084000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab089b1a9d853399fa1c1af,2026-09-21T08:34:41.091000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089b2a9d853399fa1c1b0,2026-09-21T08:34:42.092000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089b2a9d853399fa1c1b1,2026-09-21T08:34:42.952000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089b4a9d853399fa1c1b2,2026-09-21T08:34:44.094000+07:00,pi4-tdbao,26.0,72.0,0,0,1
